reference_number,first_name,middle_name,last_name,gender,date_of_birth,civil_status,religion,sss_number,tin_number,property_area,residency_and_citizenship,contact_number,email_address,facebook_account,no_and_street,barangay,municipality,province,resident_status,length_of_stay,permanent_address,provincial_address,parents_address,education,course,school_last_attended,year_graduated,source_of_funds,employer_business_name,employer_contact_number,position,employment_status,monthly_net_income,employer_business_address,other_income,other_monthly_income,food_and_groceries,electric_and_water,education_and_misc,other_expense,make_brand,series,year_model,variant,color,plate_no,engine_no,chassis_no,transmission,fuel,dealer_name,dealer_address,dealer_contact_number,loan_type,estimated_vehicle_value,down_payment_percentage,loan_amount_term,loan_purpose,marketing_source,sales_representative
250326123001,Michael,Castaños,Doe,M,1987-06-04,Y,Catholic,213-54-8726,987-65-4321,Urban,Resident Filipino Citizen,9123456789,user1@example.com,fb.com/user1,123 Main St,Sample Brgy,Sample City,Metro Manila,Residence,1_to_3_years,"135 Pine Rd., Quezon City",75 Provincial Rd.,"478 Parent St., Manila",Graduate,Computer Science,Sample University,2010,Salary,Tech Corp,0917-123-4567,Software Engineer,Employee,112400,Tech Building Sample City,None,0,2500,2000,1000,106900,Toyota,Vios,2023,1.5 G,Red,ABC123,ENG123456,CHS123456,Automatic,Gas,ABC Motors,123 Dealer St Sample City,02-987-6543,New,150000,0.2,18,Personal,Thru Agent,Jane Smith 
250326123002,Sari,Tabarino,Cruz,F,1995-01-20,Y,Catholic,213-54-8727,987-65-4322,Urban,Resident Filipino Citizen,9123456790,user2@example.com,fb.com/user2,32 Pilipino St,Baesa,Makati City,Metro Manila,Residence,5_to_10_years,"852 Palm St., Makati City",951 Provincial Rd.,"159 Parent St., Pasay",Graduate,Information Technology,STI Novaliches,2014,Income from Business,Google,0917-123-4568,IT Manager,Registered Business,72000,Google Bldg. Makati City,None,0,2500,2000,1000,66500,Toyota,Wigo,2025,1.5 G,Black,AON176,ENG902542,CHS176352,Automatic,Gas,Locar Motors ,56 Sampaguita Quezon City,02-890-3254,New,370260,0.2,24,Personal,Thru Agent,Gabby Salonga
250326123003,Brix,Sison,Soriano,M,1998-01-19,Y,Catholic,213-54-8728,987-65-4323,Urban,Resident Filipino Citizen,9123456791,user3@example.com,fb.com/user3,28 Sampaloc St,Mendez,Pasig City,Metro Manila,Residence,1_to_3_years,"246 Coconut St., Makati City",258 Provincial Rd.,"753 Parent St., Taguig",Graduate,Computer Engineering,NU Fairview,2015,Salary,Ericson,0917-123-4569,Web Developer,Employee,83586.58,24 Nueva Ecija St Taguig City,None,0,2500,2000,1000,78086.58,Toyota,Vios,2022,1.5 G,White,ILY143,ENG783902,CHS432321,Automatic,Gas,Rolly's Cars,62 Prada St Pasay City,02-673-9000,New,145114,0.2,36,Personal,Thru Agent,Rolly Agustin
250326123004,Kaye,Fabila,Carmela,F,1984-09-01,N,Catholic,213-54-8729,987-65-4324,Urban,Resident Filipino Citizen,9123456792,user4@example.com,fb.com/user4,77 Gucci St,San Bartolome,Quezon City,Metro Manila,Residence,1_to_3_years,"369 Banana Ave., Taguig City",123 Provincial Rd.,"456 Parent St., Pateros",Graduate,Information System,Electron college,2013,Salary ,Cloudwalk Digital,0917-123-4570,Data Scientist,Employee,38324.02,11 Bonifacio St Quezon City,None,0,2500,2000,1000,32824.02,Honda,Civic,2023,RS Turbo,Red,AAA213,ENG893821,CHS999900,Automatic,Gas,Coral Cargine,22 Gardo St Quezon City,02-333-2123,New,260000,0.2,24,Personal,Thru Agent,Carlo Delasantos
250326123005,Lucienne,GIANAN,Guerrero,F,1974-09-19,Y,Catholic,213-54-8730,987-65-4325,Urban,Resident Filipino Citizen,9123456793,user5@example.com,fb.com/user5,11 Jane St,Salazar,Quezon City,Metro Manila,Residence,5_to_10_years,"789 Grape St., Quezon City",654 Provincial Rd.,"789 Parent Rd., Mandaluyong",Graduate,Computer Science,FEU Manila,2014,Salary,DXC Technology,0917-123-4571,Data Scientist,Employee,70000,DXC Bldg Quezon City,None,0,2500,2000,1000,64500,Nissan,Navara,2024,2.5 L,Black,OPI454,ENG927308,CHS672722,Automatic,Gas,Car Driealer,12 Garud St Pasig City,02-742-1110,New,250000,0.2,24,Personal,Thru Agent,Carelle Domingo
250326123006,Cielo,Dizon,Dela Torre,M,1983-01-16,N,Catholic,213-54-8731,987-65-4326,Urban,Resident Filipino Citizen,9123456794,user6@example.com,fb.com/user6,20 Solitaire St,Sto. Domingo,Taguig City,Metro Manila,Residence,1_to_3_years,"456 Cherry Blossom Ln., San Juan City",321 Provincial Rd.,"963 Parent St., Navotas",Graduate,Tourism,NU MOA,2011,Income from Business,Cebu Pacific,0917-123-4572,Flight Attendant,Registered Business,30000,PITX Paranaque City,None,0,2500,2000,1000,24500,Ford,Ranger,2024,2.0 L,Black,PIA122,ENG983228,CHS909090,Automatic,Gas,Dacar's,Golden St Quezon City,02-111-2567,New,143100,0.2,36,Personal,Thru Agent,Safira Johnson
250326123007,Lucius,Rensal,Mendoza,M,1985-09-14,Y,Catholic,213-54-8732,987-65-4327,Urban,Resident Filipino Citizen,9123456795,user7@example.com,fb.com/user7,98 English St,Rosa,Makati City,Metro Manila,Residence,less_than_6_months,"852 Fern St., Mandaluyong City",147 Provincial Rd.,"678 Parent St., Las Pinas",Graduate,Music Production,La Salle Benilde,2010,Income from Business,Audiophile,0917-123-4573,Sound Engineer,Registered Business,71000,SM North Quezon City,None,0,2500,2000,1000,65500,Toyota,Wigo,2025,1.5 G,Brown,SOF101,ENG934029,CHS523626,Automatic,Gas,Radiar Motors,East Corner Quezon City,02-435-9932,New,375372,0.2,30,Personal,Thru Agent,Zild Salonga
250326123008,Clarence,Samson,Perez,M,1994-02-05,Y,Catholic,213-54-8733,987-65-4328,Urban,Resident Filipino Citizen,9123456796,user8@example.com,fb.com/user8,66 Goblin St,Kolidor,Pasay City,Metro Manila,Residence,1_to_3_years,"343 Elm St., Makati City",987 Provincial Rd.,"159 Parent St., Taguig",Graduate,Accountancy,UP Diliman,2007,Income from Business,Khobar CPA,0917-123-4574,Finance Manager,Registered Business,70000,Pasig St Pasay City,None,0,2500,2000,1000,64500,Audi,Q5,2024,2,Black,IAN234,ENG388383,CHS372821,Automatic,Gas,Carlene's,West Ave Quezon City,02-333-2021,New,299178,0.2,24,Personal,Thru Agent,Brian Galpa
250326123009,Hannah,Pestola,Sharlot,F,1986-02-02,N,Catholic,213-54-8734,987-65-4329,Urban,Resident Filipino Citizen,9123456797,user9@example.com,fb.com/user9,09 Gayuma St,Bote,Pasay City,Metro Manila,Residence,1_to_3_years,"684 Maple St., Taguig City",852 Provincial Rd.,"258 Parent St., Paranaque",Graduate,Tourism,STI Novaliches,2015,Income from Business,Air Asia,0917-123-4575,Flight Attendant,Registered Business,56000,NAIA Terminal 2,None,0,2500,2000,1000,50500,BMW,X5,2024,40i,Blue,AHA696,ENG236713,CHS389209,Automatic,Gas,Kolocar Motour,Ariel Ave Taguig City,02-909-3201,New,82574,0.2,12,Personal,Thru Agent,Darla Alcasid
250326123010,Antonio,Pajares,Medina,M,1995-09-27,Y,Catholic,213-54-8735,987-65-4330,Urban,Resident Filipino Citizen,9123456798,user10@example.com,fb.com/user10,33 Alcasid St,Orlando,Makati City,Metro Manila,Residence,5_to_10_years,"1987 Cedar Rd., Pateros",753 Provincial Rd.,"369 Parent St., Las Pinas",Graduate,Nursing,UP Manila,2010,Salary,Infant Child Hospital,0917-123-4576,Head Nurse,Employee,29950,Lilo St Cubao Quezon City,None,0,2500,2000,1000,24450,Hyundai,Tucson,2023,2,Black,OPO122,ENG320954,CHS782165,Automatic,Gas,Motor Royale,11 Eskinita St Makati City,02-321-6543,New,125000,0.2,12,Personal,Thru Agent,Linda Losares
